name,body_part
supino reto (barra),PEITO
supino inclinado (halteres),PEITO
crucifixo,PEITO
cross-over,PEITO
rosca direta,BICEPS
rosca martelo,BICEPS
rosca inclinado,BICEPS
rosca direta,BICEPS
pulldown,COSTAS
remada alta (maquina),COSTAS
pulley,COSTAS
remada baixa,COSTAS
triceps corda,TRICEPS
triceps frances,TRICEPS
triceps testa (maquina),TRICEPS
desenvolvimento (halteres),OMBRO
elevacao frontal (halteres),OMBRO
elevacao frontal (polia),OMBRO
elevacao lateral (polia),OMBRO
elevacao lateral (halteres),OMBRO
elevacao lateral (maquina),OMBRO
crucifixo inverso (maquina),OMBRO
crucifixo inverso (polia),OMBRO
encolhimento (halteres),OMBRO
agachamento (barra),PERNA
leg press 45⁰,PERNA
cadeira extensora,PERNA
cadeira flexora,PERNA
panturrilha (leg press),PERNA
panturrilha (gemeos sentado),PERNA
mesa flexora,PERNA
triceps testa (barra),TRICEPS
crucifixo inverso (halteres),OMBRO
triceps testa (polia),TRICEPS
supino reto (halteres),PEITO
supino reto (halteres),PEITO
supino reto (halteres),PEITO
supino reto (halteres),PEITO
supino reto (halteres),PEITO
supino reto (halteres),PEITO
supino reto (halteres),PEITO
supino reto (halteres),PEITO
